doc_id,route,title,text
tech_ivf,TECHNICAL,IVF Index Tuning,"IVF indices trade some recall for speed. Tune nprobe carefully because low nprobe can hurt recall while higher nprobe increases latency."
tech_hnsw,TECHNICAL,HNSW Configuration Guide,"HNSW usually offers strong recall with fast lookup, but memory usage is higher because the graph structure stores more connections."
tech_api_embeddings,TECHNICAL,Embeddings Endpoint Reference,"The embeddings API returns a dense vector, model metadata, and token usage fields for each request."
tech_sdk_auth,TECHNICAL,SDK Authentication,"Use API keys or service tokens for SDK authentication. Rotate secrets regularly and store them in environment variables."
concept_chunking,CONCEPTUAL,Chunking Tradeoffs,"Small chunks improve precision while larger chunks preserve context. Recursive chunking is a common balanced default."
concept_rerank,CONCEPTUAL,Why Reranking Helps,"Initial retrieval is about recall. Reranking improves ordering by moving the most relevant passages higher."
concept_hyde,CONCEPTUAL,HyDE Retrieval Idea,"HyDE works by generating a hypothetical answer-like document and retrieving against that richer semantic text instead of the raw query."
concept_stepback,CONCEPTUAL,Step-Back Prompting,"Step-back prompting rewrites a narrow query into a broader conceptual question so retrieval can capture supporting context."
troubleshoot_latency,TROUBLESHOOTING,Slow Retrieval Debug Guide,"Slow retrieval often comes from flat indices, high nprobe settings, expensive reranking, oversized chunks, or missing metadata filters."
troubleshoot_memory,TROUBLESHOOTING,Memory Pressure in Search,"Large flat indices and graph-heavy structures can increase RAM pressure. HNSW often uses more memory than IVF."
troubleshoot_recall,TROUBLESHOOTING,Low Recall Playbook,"Low recall usually means poor chunking, weak query wording, weak embeddings, or overly strict filters."
troubleshoot_citations,TROUBLESHOOTING,Wrong Citation Debugging,"If answers cite weak passages, inspect ranking, reranking, and chunk boundaries before changing the prompt."
account_password,ACCOUNT,Password Reset Policy,"Users can reset passwords with the Forgot Password link on the login screen. A reset email is then sent."
account_refund,ACCOUNT,Refund Policy,"Refunds are available within 30 days for eligible purchases. Digital goods may be non-refundable."
account_workspace,ACCOUNT,Workspace Ownership,"Only workspace owners can delete a workspace, and exporting important data first is recommended."
account_pricing,ACCOUNT,Plan and Billing Limits,"Starter has fewer seats and advanced features than Pro or Enterprise. Some security features are Enterprise-only."
